Ano;Dia;Hora;Casa;Fora;GC;GF;Res
2012;02/09/2012;20:00:00;Sport Recife;Santos;2;1;C
2012;02/09/2012;22:30:00;Botafogo RJ;Coritiba;2;0;C
2012;02/09/2012;22:30:00;Cruzeiro;Nautico;3;0;C
2012;02/09/2012;22:30:00;Ponte Preta;Atletico GO;3;1;C
2012;05/09/2012;23:30:00;Bahia;Atletico-MG;0;0;e
2012;05/09/2012;23:30:00;Flamengo RJ;Ponte Preta;0;1;F
2012;05/09/2012;23:30:00;Nautico;Vasco;1;1;e
2012;05/09/2012;23:30:00;Portuguesa;Coritiba;3;0;C
2012;06/09/2012;00:30:00;Gremio;Atletico GO;2;1;C
2012;06/09/2012;02:00:00;Cruzeiro;Botafogo RJ;1;3;F
2012;06/09/2012;02:00:00;Figueirense;Corinthians;1;0;C
2012;06/09/2012;02:00:00;Sao Paulo;Internacional;1;1;e
2012;07/09/2012;01:00:00;Fluminense;Santos;3;1;C
2012;07/09/2012;01:00:00;Palmeiras;Sport Recife;3;1;C
2012;08/09/2012;22:30:00;Coritiba;Flamengo RJ;3;0;C
2012;08/09/2012;22:30:00;Ponte Preta;Figueirense;2;2;e
2012;09/09/2012;01:00:00;Corinthians;Gremio;3;1;C
2012;09/09/2012;20:00:00;Botafogo RJ;Nautico;3;1;C
2012;09/09/2012;20:00:00;Internacional;Fluminense;0;1;F
2012;09/09/2012;20:00:00;Santos;Sao Paulo;0;0;e
2012;09/09/2012;22:30:00;Atletico GO;Portuguesa;1;1;e
2012;09/09/2012;22:30:00;Atletico-MG;Palmeiras;3;0;C
2012;09/09/2012;22:30:00;Sport Recife;Cruzeiro;2;1;C
2012;09/09/2012;22:30:00;Vasco;Bahia;0;4;F
2012;12/09/2012;23:30:00;Corinthians;Ponte Preta;1;1;e
2012;12/09/2012;23:30:00;Figueirense;Cruzeiro;2;0;C
2012;12/09/2012;23:30:00;Portuguesa;Fluminense;0;2;F
2012;13/09/2012;00:30:00;Atletico GO;Coritiba;1;2;F
2012;13/09/2012;00:30:00;Sport Recife;Bahia;1;1;e
2012;13/09/2012;02:00:00;Atletico-MG;Sao Paulo;1;0;C
2012;13/09/2012;02:00:00;Santos;Flamengo RJ;2;0;C
2012;13/09/2012;02:00:00;Vasco;Palmeiras;3;1;C
2012;14/09/2012;01:00:00;Botafogo RJ;Internacional;1;1;e
2012;14/09/2012;01:00:00;Gremio;Nautico;2;0;C
2012;15/09/2012;22:30:00;Sao Paulo;Portuguesa;3;1;C
2012;15/09/2012;22:50:00;Fluminense;Atletico GO;1;2;F
2012;16/09/2012;20:00:00;Bahia;Figueirense;2;1;C
2012;16/09/2012;20:00:00;Coritiba;Santos;1;2;F
2012;16/09/2012;20:00:00;Cruzeiro;Vasco;1;1;e
2012;16/09/2012;20:00:00;Nautico;Atletico-MG;1;0;C
2012;16/09/2012;20:00:00;Palmeiras;Corinthians;0;2;F
2012;16/09/2012;22:30:00;Flamengo RJ;Gremio;1;1;e
2012;16/09/2012;22:30:00;Internacional;Sport Recife;2;2;e
